time,pos,bid,score,first,trump,tricks
1539841511,0,0,10,0,H,"D6,D7,D8,DQ;S9,SQ,SA,S4;C8,S7,CJ,HQ"
1539841511,0,0,10,3,D,"H8,D6,D2,HJ;C3,CQ,C5,DJ;H2,S10,C8,HA;S2,S6,CJ,SA"
1539841511,0,2,0,2,C,"C2,CQ,C8,CA;H6,HQ,CJ,HJ;S9,S4,S8,S7;C6,CK,SA,H5;D6,SQ,DA,DJ"
1539841511,0,4,14,1,H,"H3,H8,H7,DA;H4,HJ,H10,DK;DJ,D6,D3,CA;HQ,C6,S6,C4;HA,S10,C2,S9;CK,S4,D5,S7"
1539841511,0,1,0,0,D,"D7,D6,D4,D9;H2,HJ,H6,H10;S2,DJ,DQ,C10;S5,S9,S4,S10;C7,C3,CK,C9;H3,HK,H9,C8;SQ,CJ,SA,C5"
1539841511,0,3,0,3,C,"C2,C7,CK,C5;C9,CJ,CA,H4;H2,H6,H10,DA;H3,HJ,H7,D4;SQ,S8,S6,SA;SK,D2,S2,S10;C10,D9,H5,S5;D7,DJ,D3,S3"
1539841511,0,3,0,2,S,"S2,S6,S3,S5;S4,S9,S7,C6;SJ,SA,D2,C9;H3,HA,H6,H8;C2,DA,D6,D9;C5,DK,D8,H9;CJ,CQ,DJ,HJ;CA,C7,DQ,HQ;H4,C3,H7,HK"
1539841511,0,4,14,1,D,"D2,D6,D4,HK;H3,H9,H4,HJ;H8,H2,H7,H6;D8,C8,D7,CK;D10,C7,DA,C4;S3,SK,S7,SA;S8,SQ,C3,S6;C6,C5,C9,S5;DJ,C2,H10,S4;CQ,SJ,HQ,S2"
1539841511,0,4,0,0,C,"C6,C3,CK,C7;H2,H6,HK,H8;H4,H7,HJ,C9;C10,C5,H9,CQ;S2,S6,S7,S3;HQ,H10,H3,SQ;CJ,S8,DA,SA;CA,S9,D6,D2;S5,S10,S4,D7;D4,SK,D5,D8;DJ,HA,D3,DQ"
1539841511,0,4,0,3,S,"S5,S4,S2,S3;S6,S7,C4,SK;S10,S9,C7,SA;H2,H6,H3,HK;H5,SJ,H4,H10;C2,C8,CJ,C6;HQ,CK,H9,H8;SQ,D5,DA,H7;C9,D6,CQ,C5;D2,D7,DQ,DK;C10,D8,D9,D3;CA,D10,D4,C3"
1539841511,0,2,12,0,H,"H8,H4,H3,H6;HQ,H7,H9,HK;C3,C5,C2,C4;S3,S5,S2,C8;D6,DA,D4,D2;D9,DK,D5,D7;S6,D8,DJ,D10;S10,S8,S4,C10;C7,CJ,S9,CQ;C6,C9,SK,CA;SJ,S7,DQ,CK"
1539841511,0,2,0,1,S,"S4,S5,S2,HA;S6,SJ,S7,HJ;H2,H10,H3,H7;H8,H5,C3,H4;C2,CA,C7,C4;DQ,DK,D6,DA;C5,D5,D7,DJ;C9,CK,D8,D9;C10,C8,D10,D3;HK,C6,CQ,D2"
1539841511,0,4,0,2,H,"H2,DK,H9,H8;H3,D5,H10,HQ;H4,D2,HJ,HK;S4,SQ,C4,S2;HA,CJ,C5,C2;S7,S3,CK,SA;D3,C10,D4,D9;SJ,C9,D8,CQ;D6,C6,DA,C7"
1539841511,0,2,0,3,D,"D4,D8,HQ,D9;D7,DA,H7,D10;S2,S6,SA,S3;H4,H6,H2,H3;HJ,HK,CK,DK;CJ,C7,C10,C3;S8,S9,C8,C4;SQ,H8,C6,CQ"
1539841511,0,0,10,0,H,"C9,CA,CQ,C6;C7,CJ,HJ,H9;D4,C8,HK,S2;D3,C2,DK,D6;C4,SQ,DJ,S4;SA,SJ,D8,S5;S3,S10,D7,S9"
1539841511,0,2,0,1,H,"H3,H2,H4,HJ;CQ,D5,C8,C9;HQ,SA,H7,SQ;DK,SK,D4,SJ;D8,S9,D10,S5;D7,S8,S4,S3"
1539841511,0,0,10,2,H,"D8,D10,HQ,H6;D4,C10,D6,D2;CK,C3,CA,H9;S5,S9,S6,S3;C2,S7,S4,DJ"
1539841511,0,1,0,3,S,"S2,S4,S5,D8;H3,SQ,H8,H6;CJ,CQ,C7,HK;CK,DK,H7,HA"
1539841511,0,1,0,0,S,"HA,HK,HQ,H10;CA,CQ,C4,C6;S2,H7,D4,D9"
